sym,month,net,pnl_pct,reason,entry_px,exit_px,notional,held_bars,cap_after
FILUSDT,2026-05,37.7089352941682,0.8000000000000007,TRAILING_LOCK,1.2212441561222076,1.2310141093711853,5237.352124190022,65,10566.553100056775
JASMYUSDT,2026-05,22.102366161868098,0.49999999999998934,TRAILING_LOCK,0.00725144979134202,0.007287707040298729,5262.468133778304,6,10588.655466218643
PYTHUSDT,2026-05,-60.434099573496255,-1.074059323007348,STALL_EXIT,0.05801159833073616,0.05738851935043931,5236.65450888708,189,15766.970537335781
ORDIUSDT,2026-05,-119.70914710766795,-2.199999999999991,STOP_LOSS,5.273054235935211,5.157047042744637,5250.401188932816,2,10395.459673999467
FILUSDT,2026-05,-119.69320184927348,-2.200000000000002,STOP_LOSS,1.1442288534164429,1.1190558186412811,5249.701835494449,1,15527.568188378842
JASMYUSDT,2026-05,-36.29844393450717,-0.6220052001526089,STALL_EXIT,0.006871374157536775,0.006828633852954954,5170.680206730155,231,15491.269744444337
ALGOUSDT,2026-05,-48.98276452604979,-0.8695373290486419,STALL_EXIT,0.12052409833073616,0.11947609630525112,5158.592824899964,253,15442.286979918286
PYTHUSDT,2026-05,70.40763434922191,1.4493729721873683,TRAILING_LOCK,0.04120824079290032,0.041805501897266506,5141.596612408423,22,10368.356137328994
PYTHUSDT,2026-05,-117.76296568594492,-2.200000000000002,STOP_LOSS,0.040208038765937086,0.03932346191308647,5165.042354646714,2,10250.59317164305
ROSEUSDT,2026-05,-116.86886214527095,-2.199999999999991,STOP_LOSS,0.009881975794024766,0.009664572326556221,5125.827287073295,10,5011.008755842854
ORDIUSDT,2026-05,-116.75121413767768,-2.200000000000013,STOP_LOSS,4.174834586334228,4.082988225434875,5120.667286740229,10,10016.973095360103
RENDERUSDT,2026-05,324.0836416672827,6.499999999999995,TAKE_PROFIT,1.915382961845398,2.0398828543653487,5048.0318016710735,238,5374.134656059025
FILUSDT,2026-05,318.748898038953,6.499999999999995,TAKE_PROFIT,0.9341868152618408,0.9949089582538604,4964.936106525751,219,5502.453194079505
ETHUSDT,2026-05,37.11809033897017,0.8000000000000007,TRAILING_LOCK,2117.7335206054686,2134.6753887703126,5155.29032485689,144,10696.923725405308
TRXUSDT,2026-05,330.1344764288809,6.499999999999995,TAKE_PROFIT,0.3514702679336071,0.3743158353492915,5142.28156431279,2741,16171.396678772704
NEARUSDT,2026-05,68.24835210221708,1.347530030721611,TRAILING_LOCK,2.6095217675685882,2.6446858570447924,5384.357802028786,62,5466.621844994214
NEARUSDT,2026-05,22.70674308987056,0.49999999999998934,TRAILING_LOCK,2.5355070858478546,2.5481846212770938,5406.367402350162,24,5489.328588084086
RENDERUSDT,2026-05,-65.28653328929816,-1.132683722270711,STALL_EXIT,2.287457340860367,2.261547683906555,5383.640605569556,114,5393.741797308363
ICPUSDT,2026-05,345.7218210368098,6.499999999999995,TAKE_PROFIT,2.6415282324314115,2.813227567539453,5385.075094031311,136,5732.950945105733
RENDERUSDT,2026-05,-122.9281417219417,-2.200000000000002,STOP_LOSS,2.2624524839401245,2.212678529293442,5391.585163243066,39,11003.764600692153
NEARUSDT,2026-05,-47.940779579281276,-0.8055081367439598,STALL_EXIT,2.481496146583557,2.461507493209839,5413.928747799089,92,16371.918140411082
GALAUSDT,2026-05,-124.26903940155269,-2.200000000000013,STOP_LOSS,0.0031606320802588014,0.0030910981744931075,5450.396464980362,20,5340.3166172299125
